Date ,Open,Close,Label
4/27/2012,"3,060.34","3,069.20",1
4/26/2012,"3,029.62","3,050.61",1
4/25/2012,"3,013.65","3,029.63",1
4/24/2012,"2,967.37","2,961.60",0
4/23/2012,"2,969.00","2,970.45",1
4/20/2012,"3,023.73","3,000.45",0
4/19/2012,"3,028.20","3,007.56",0
4/18/2012,"3,031.82","3,031.45",0
4/17/2012,"3,002.02","3,042.82",1
4/16/2012,"3,027.57","2,988.40",0
4/13/2012,"3,045.08","3,011.33",0
4/12/2012,"3,023.11","3,055.55",1
4/11/2012,"3,020.15","3,016.46",0
4/10/2012,"3,044.67","2,991.22",0
4/9/2012,"3,037.28","3,047.08",1
4/5/2012,"3,061.75","3,080.50",1
4/4/2012,"3,085.46","3,068.09",0
4/3/2012,"3,119.65","3,113.57",0
4/2/2012,"3,085.94","3,119.70",1
3/30/2012,"3,110.97","3,091.57",0
3/29/2012,"3,087.25","3,095.36",1
3/28/2012,"3,123.84","3,104.96",0
3/27/2012,"3,124.06","3,120.35",0
3/26/2012,"3,090.52","3,122.57",1
3/23/2012,"3,066.37","3,067.92",1
3/22/2012,"3,055.00","3,063.32",1
3/21/2012,"3,077.44","3,075.32",0
3/20/2012,"3,060.93","3,074.15",1
3/19/2012,"3,057.24","3,078.32",1
3/16/2012,"3,058.49","3,055.26",0
3/15/2012,"3,048.58","3,056.37",1
3/14/2012,"3,042.21","3,040.73",0
3/13/2012,"3,003.71","3,039.88",1
3/12/2012,"2,989.05","2,983.66",0
3/9/2012,"2,975.09","2,988.34",1
3/8/2012,"2,954.40","2,970.42",1
3/7/2012,"2,922.57","2,935.69",1
3/6/2012,"2,917.52","2,910.32",0
3/5/2012,"2,969.73","2,950.48",0
3/2/2012,"2,986.08","2,976.19",0
3/1/2012,"2,979.11","2,988.97",1
2/29/2012,"2,991.67","2,966.89",0
2/28/2012,"2,969.25","2,986.76",1
2/27/2012,"2,945.87","2,966.16",1
2/24/2012,"2,963.13","2,963.75",1
2/23/2012,"2,933.16","2,956.98",1
2/22/2012,"2,942.77","2,933.17",0
2/21/2012,"2,957.30","2,948.57",0
2/17/2012,"2,958.22","2,951.78",0
2/16/2012,"2,915.67","2,959.85",1
2/15/2012,"2,943.42","2,915.83",0
2/14/2012,"2,921.70","2,931.83",1
2/13/2012,"2,926.21","2,931.39",1
2/10/2012,"2,902.00","2,903.88",1
2/9/2012,"2,922.46","2,927.23",1
2/8/2012,"2,906.59","2,915.86",1
2/7/2012,"2,895.91","2,904.08",1
2/6/2012,"2,892.52","2,901.99",1
2/3/2012,"2,888.95","2,905.66",1
2/2/2012,"2,854.10","2,859.68",1
2/1/2012,"2,830.10","2,848.27",1
1/31/2012,"2,825.76","2,813.84",0
1/30/2012,"2,790.40","2,811.94",1
1/27/2012,"2,797.66","2,816.55",1
1/26/2012,"2,828.78","2,805.28",0
1/25/2012,"2,803.23","2,818.31",1
1/24/2012,"2,771.58","2,786.64",1
1/23/2012,"2,786.21","2,784.17",0
1/20/2012,"2,776.04","2,786.70",1
1/19/2012,"2,779.74","2,788.33",1
1/18/2012,"2,731.16","2,769.71",1
1/17/2012,"2,736.34","2,728.08",0
1/13/2012,"2,707.41","2,710.67",1
1/12/2012,"2,716.87","2,724.70",1
1/11/2012,"2,695.77","2,710.76",1
1/10/2012,"2,704.42","2,702.50",0
1/9/2012,"2,682.98","2,676.56",0
1/6/2012,"2,671.17","2,674.22",1
1/5/2012,"2,642.57","2,669.86",1
1/4/2012,"2,639.90","2,648.36",1
1/3/2012,"2,657.39","2,648.72",0
12/30/2011,"2,610.23","2,605.15",0
12/29/2011,"2,596.33","2,613.74",1
12/28/2011,"2,626.19","2,589.98",0
12/27/2011,"2,613.51","2,625.20",1
